# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 22:16:35.000000000	-216.5171	3.0430
2017/01/28 22:18:44.000000000	-216.5107	3.0437
2017/01/28 22:20:53.000000000	-216.5182	3.0437
2017/01/28 22:23:02.000000000	-216.5162	3.0439
2017/01/28 22:25:11.000000000	-216.5164	3.0435
2017/01/28 22:27:20.000000000	-216.5099	3.0437
2017/01/28 22:29:29.000000000	-216.5148	3.0435
2017/01/28 22:31:38.000000000	-216.5129	3.0435
2017/01/28 22:33:47.000000000	-216.4995	3.0431
2017/01/28 22:35:56.000000000	-216.5083	3.0424
2017/01/28 22:38:05.000000000	-216.5106	3.0435
2017/01/28 22:40:14.000000000	-216.5071	3.0432
2017/01/28 22:42:23.000000000	-216.5030	3.0430
2017/01/28 22:44:32.000000000	-216.5059	3.0433
2017/01/28 22:46:41.000000000	-216.5103	3.0430
2017/01/28 22:48:50.000000000	-216.5052	3.0429
2017/01/28 22:50:59.000000000	-216.5011	3.0430
2017/01/28 22:53:08.000000000	-216.5090	3.0430
2017/01/28 22:55:17.000000000	-216.5087	3.0430
2017/01/28 22:57:26.000000000	-216.5061	3.0430
2017/01/28 22:59:35.000000000	-216.5095	3.0442
2017/01/28 23:01:44.000000000	-216.5049	3.0428
2017/01/28 23:03:53.000000000	-216.5069	3.0434
2017/01/28 23:06:02.000000000	-216.5028	3.0430
2017/01/28 23:08:11.000000000	-216.5057	3.0432
2017/01/28 23:10:20.000000000	-216.5021	3.0432
2017/01/28 23:12:29.000000000	-216.5016	3.0432
2017/01/28 23:14:38.000000000	-216.5061	3.0431
2017/01/28 23:16:47.000000000	-216.5118	3.0425
2017/01/28 23:18:56.000000000	-216.5096	3.0430
2017/01/28 23:21:05.000000000	-216.4962	3.0426
2017/01/28 23:23:14.000000000	-216.3889	3.0427
2017/01/28 23:25:23.000000000	-216.5071	3.0427
2017/01/28 23:27:32.000000000	-216.4941	3.0442
2017/01/28 23:29:41.000000000	-216.5098	3.0442
2017/01/28 23:31:50.000000000	-216.5172	3.0442
2017/01/28 23:33:59.000000000	-216.5135	3.0442
2017/01/28 23:36:08.000000000	-216.5148	3.0442
2017/01/28 23:38:17.000000000	-216.5200	3.0442
2017/01/28 23:40:26.000000000	-216.5245	3.0442
2017/01/28 23:42:35.000000000	-216.5174	3.0442
2017/01/28 23:44:44.000000000	-216.5158	3.0442
2017/01/28 23:46:53.000000000	-213.7809	3.0472
2017/01/28 23:49:02.000000000	-212.9705	3.0561
2017/01/28 23:51:11.000000000	-213.1399	3.0689
2017/01/28 23:53:20.000000000	-213.2507	3.0793
2017/01/28 23:55:29.000000000	-212.1832	3.0779
2017/01/28 23:57:38.000000000	-212.5464	3.0502
2017/01/28 23:59:47.000000000	-212.5633	3.0620
2017/01/29 00:01:56.000000000	-212.8826	3.0656
